DOCULECT	CHAR	PHONEME
Shitooke	c14_1	a
Shuri	c14_1	a
Sonai	c14_1	a
Taketomi	c14_1	a
Tarama	c14_1	a_LG_
Tatsugo	c14_1	a
Uechi	c14_1	u
Uegusuku	c14_1	a
Wadomari	c14_1	a
Wan	c14_1	a
Yadon	c14_1	a
Yonaguni	c14_1	a
Yoro	c14_1	a
Yuwan	c14_1	a
Chabana	c150_1	g
Hateruma	c150_1	g
Hentona	c150_1	g
Hirara	c150_1	g
Ie	c150_1	dZ
Iheya	c150_1	dZ
Isen	c150_1	g
Ishigaki	c150_1	g
Ishikawa	c150_1	dZ
Izena	c150_1	dZ
Kagoshima	c150_1	_GS_
Kametsu	c150_1	g
Koniya	c150_1	g
Kudaka	c150_1	g
Kuji-Oohama	c150_1	g
Kuroshima	c150_1	g
Kushi	c150_1	g
Kyoto	c150_1	N
Matsubara	c150_1	g
Naze	c150_1	g
Ongachi	c150_1	g
Ou	c150_1	dZ
Oura	c150_1	g
Sakimotobu	c150_1	g
San	c150_1	g
Sani	c150_1	g
Shitooke	c150_1	N
Shuri	c150_1	dZ
Sonai	c150_1	g
Taketomi	c150_1	g
Tarama	c150_1	g
Tatsugo	c150_1	g
Uechi	c150_1	g
Yadon	c150_1	g
Yonaguni	c150_1	N
Yoro	c150_1	g
Yuwan	c150_1	g
Chabana	c151_1	ZERO
Hateruma	c151_1	ZERO
Hentona	c151_1	ZERO
Hirara	c151_1	ZERO
Ie	c151_1	ZERO
Iheya	c151_1	ZERO
Isen	c151_1	a
Ishigaki	c151_1	ZERO
Ishikawa	c151_1	ZERO
Izena	c151_1	ZERO
Kagoshima	c151_1	ZERO
Kametsu	c151_1	a
Koniya	c151_1	ZERO
Kudaka	c151_1	ZERO
Kuji-Oohama	c151_1	a
Kuroshima	c151_1	ZERO
Kushi	c151_1	ZERO
Kyoto	c151_1	ZERO
Matsubara	c151_1	a
Naze	c151_1	a
Ongachi	c151_1	ZERO
Ou	c151_1	ZERO
Oura	c151_1	ZERO
Sakimotobu	c151_1	ZERO
San	c151_1	ZERO
Sani	c151_1	a
Shitooke	c151_1	a
Shuri	c151_1	ZERO
Sonai	c151_1	ZERO
Taketomi	c151_1	ZERO
Tarama	c151_1	ZERO
Tatsugo	c151_1	ZERO
Uechi	c151_1	ZERO
Yadon	c151_1	a
Yonaguni	c151_1	ZERO
Yoro	c151_1	ZERO
Yuwan	c151_1	ZERO
Chabana	c152_1	ZERO
Hateruma	c152_1	ZERO
Hentona	c152_1	ZERO
Hirara	c152_1	ZERO
Ie	c152_1	ZERO
Iheya	c152_1	ZERO
Isen	c152_1	r
Ishigaki	c152_1	ZERO
Ishikawa	c152_1	ZERO
Izena	c152_1	ZERO
Kagoshima	c152_1	ZERO
Kametsu	c152_1	r
Koniya	c152_1	ZERO
Kudaka	c152_1	ZERO
Kuji-Oohama	c152_1	r
Kuroshima	c152_1	ZERO
Kushi	c152_1	ZERO
Kyoto	c152_1	ZERO
Matsubara	c152_1	ZERO
Naze	c152_1	r
Ongachi	c152_1	ZERO
Ou	c152_1	ZERO
Oura	c152_1	ZERO
Sakimotobu	c152_1	ZERO
San	c152_1	ZERO
Sani	c152_1	r
Shitooke	c152_1	ZERO
Shuri	c152_1	ZERO
Sonai	c152_1	ZERO
Taketomi	c152_1	ZERO
Tarama	c152_1	ZERO
Tatsugo	c152_1	ZERO
Uechi	c152_1	ZERO
Yadon	c152_1	ZERO
Yonaguni	c152_1	ZERO
Yoro	c152_1	ZERO
Yuwan	c152_1	ZERO
Chabana	c153_1	j
Hateruma	c153_1	ZERO
Hentona	c153_1	ZERO
Hirara	c153_1	ZERO
Ie	c153_1	ZERO
Iheya	c153_1	ZERO
Isen	c153_1	ZERO
Ishigaki	c153_1	ZERO
Ishikawa	c153_1	ZERO
Izena	c153_1	ZERO
Kagoshima	c153_1	ZERO
Kametsu	c153_1	ZERO
Koniya	c153_1	j
Kudaka	c153_1	ZERO
Kuji-Oohama	c153_1	j
Kuroshima	c153_1	ZERO
Kushi	c153_1	j
Kyoto	c153_1	ZERO
Matsubara	c153_1	ZERO
Naze	c153_1	j
Ongachi	c153_1	ZERO
Ou	c153_1	ZERO
Oura	c153_1	ZERO
Sakimotobu	c153_1	ZERO
San	c153_1	j
Sani	c153_1	j
Shitooke	c153_1	j
Shuri	c153_1	ZERO
Sonai	c153_1	ZERO
Taketomi	c153_1	ZERO
Tarama	c153_1	ZERO
Tatsugo	c153_1	j
Uechi	c153_1	ZERO
Yadon	c153_1	ZERO
Yonaguni	c153_1	ZERO
Yoro	c153_1	j
Yuwan	c153_1	j
Chabana	c154_1	w
Hateruma	c154_1	b
Hentona	c154_1	_GS_
Hirara	c154_1	b
Ie	c154_1	w
Iheya	c154_1	w
Ikema	c154_1	b
Isen	c154_1	w
Ishigaki	c154_1	b
Ishikawa	c154_1	w
Itoman	c154_1	_GS_
Izena	c154_1	w
Kametsu	c154_1	w
Keraji	c154_1	g
Koniya	c154_1	w
Kudaka	c154_1	g
Kuji-Oohama	c154_1	w
Kuroshima	c154_1	b
Kushi	c154_1	w
Kyoto	c154_1	ZERO
Mugiya	c154_1	p_SL_
Nago	c154_1	w
Naze	c154_1	ZERO
Ohama	c154_1	b
Ongachi	c154_1	w
Ou	c154_1	ZERO
Oura	c154_1	b
Ritchou	c154_1	w
Sakimotobu	c154_1	w
San	c154_1	_GS_
Sani	c154_1	w
Sena	c154_1	w
Serikaku	c154_1	w
Shiomichi	c154_1	w
Shitooke	c154_1	w
Shuri	c154_1	ZERO
Sonai	c154_1	b
Taketomi	c154_1	b
Tarama	c154_1	b
Tatsugo	c154_1	w
Uechi	c154_1	b
Uegusuku	c154_1	w
Wadomari	c154_1	w
Wan	c154_1	w
Yadon	c154_1	w
Yonaguni	c154_1	b
Yoro	c154_1	w
Yuwan	c154_1	w
Chabana	c155_1	u
Hateruma	c155_1	u
Hentona	c155_1	u
Hirara	c155_1	u
Ie	c155_1	u
Iheya	c155_1	u
Ikema	c155_1	u
Isen	c155_1	u
Ishigaki	c155_1	u
Ishikawa	c155_1	u
Itoman	c155_1	u
Izena	c155_1	u
Kametsu	c155_1	u
Keraji	c155_1	u
Koniya	c155_1	u
Kudaka	c155_1	u
Kuji-Oohama	c155_1	u
Kuroshima	c155_1	u
Kushi	c155_1	u
Kyoto	c155_1	o
Mugiya	c155_1	u
Nago	c155_1	u
Naze	c155_1	u
Ohama	c155_1	u
Ongachi	c155_1	u
Ou	c155_1	!u_LG_
Oura	c155_1	u
Ritchou	c155_1	u
Sakimotobu	c155_1	u
San	c155_1	u
Sani	c155_1	u
Sena	c155_1	u
Serikaku	c155_1	u
Shiomichi	c155_1	u
Shitooke	c155_1	u
Shuri	c155_1	u
Sonai	c155_1	u
Taketomi	c155_1	u
Tarama	c155_1	u
Tatsugo	c155_1	u
Uechi	c155_1	u
Uegusuku	c155_1	u
Wadomari	c155_1	u
Wan	c155_1	u
Yadon	c155_1	u
Yonaguni	c155_1	u
Yoro	c155_1	u
Yuwan	c155_1	u
Chabana	c156_1	ZERO
Hateruma	c156_1	ZERO
Hentona	c156_1	ZERO
Hirara	c156_1	ZERO
Ie	c156_1	t
Iheya	c156_1	ZERO
Ikema	c156_1	ZERO
Isen	c156_1	t
Ishigaki	c156_1	ZERO
Ishikawa	c156_1	ZERO
Itoman	c156_1	ZERO
Izena	c156_1	ZERO
Kametsu	c156_1	ZERO
Keraji	c156_1	ZERO
Koniya	c156_1	ZERO
Kudaka	c156_1	ZERO
Kuji-Oohama	c156_1	ZERO
Kuroshima	c156_1	ZERO
Kushi	c156_1	ZERO
Kyoto	c156_1	t
Mugiya	c156_1	ZERO
Nago	c156_1	ZERO
Naze	c156_1	ZERO
Ohama	c156_1	ZERO
Ongachi	c156_1	ZERO
Ou	c156_1	ZERO
Oura	c156_1	ZERO
Ritchou	c156_1	ZERO
Sakimotobu	c156_1	ZERO
San	c156_1	ZERO
Sani	c156_1	ZERO
Sena	c156_1	ZERO
Serikaku	c156_1	ZERO
Shiomichi	c156_1	ZERO
Shitooke	c156_1	ZERO
Shuri	c156_1	ZERO
Sonai	c156_1	ZERO
Taketomi	c156_1	ZERO
Tarama	c156_1	ZERO
Tatsugo	c156_1	ZERO
Uechi	c156_1	ZERO
Uegusuku	c156_1	ZERO
Wadomari	c156_1	ZERO
Wan	c156_1	ZERO
Yadon	c156_1	ZERO
Yonaguni	c156_1	ZERO
Yoro	c156_1	ZERO
Yuwan	c156_1	ZERO
Chabana	c157_2	t
Hateruma	c157_2	t
Hentona	c157_2	t
Hirara	c157_2	t
Ie	c157_2	t
Iheya	c157_2	t
Ikema	c157_2	t
Isen	c157_2	t
Ishigaki	c157_2	d
Ishikawa	c157_2	t
Itoman	c157_2	t
Izena	c157_2	t
Kagoshima	c157_2	_GS_
Kametsu	c157_2	t
Keraji	c157_2	t
Koniya	c157_2	t
Kudaka	c157_2	t
Kuji-Oohama	c157_2	t
Kuroshima	c157_2	t
Kushi	c157_2	t
Kyoto	c157_2	t
Matsubara	c157_2	t
Mugiya	c157_2	t
Nago	c157_2	t
Naze	c157_2	t
Ohama	c157_2	d
Ongachi	c157_2	t
Ou	c157_2	t
Oura	c157_2	t
Ritchou	c157_2	t
Sakimotobu	c157_2	t
San	c157_2	t
Sani	c157_2	t
Sena	c157_2	t
Serikaku	c157_2	t
Shiomichi	c157_2	t
Shitooke	c157_2	t
Shuri	c157_2	t
Sonai	c157_2	t
Taketomi	c157_2	t
Tarama	c157_2	t
Tatsugo	c157_2	t
Uechi	c157_2	t
Uegusuku	c157_2	t
Wadomari	c157_2	t
Wan	c157_2	t
Yadon	c157_2	t
Yonaguni	c157_2	t
Yoro	c157_2	t
Yuwan	c157_2	t
Chabana	c158_1	u
Hateruma	c158_1	u
Hentona	c158_1	u
Hirara	c158_1	u
Ie	c158_1	u
Iheya	c158_1	u
Ikema	c158_1	u
Isen	c158_1	u
Ishigaki	c158_1	u
Ishikawa	c158_1	u
Itoman	c158_1	u
Izena	c158_1	u_LG_
Kametsu	c158_1	u
Keraji	c158_1	u
Koniya	c158_1	u
Kudaka	c158_1	u
Kuji-Oohama	c158_1	u_LG_
Kuroshima	c158_1	u
Kushi	c158_1	u
Kyoto	c158_1	o
Mugiya	c158_1	u
Nago	c158_1	u
Naze	c158_1	u
Ohama	c158_1	u
Ongachi	c158_1	u
Ou	c158_1	u
Oura	c158_1	u
Ritchou	c158_1	u
Sakimotobu	c158_1	u
San	c158_1	u
Sani	c158_1	u
Sena	c158_1	u
Serikaku	c158_1	u_LG_
Shiomichi	c158_1	u
Shitooke	c158_1	u
Shuri	c158_1	u
Sonai	c158_1	u
Taketomi	c158_1	u
Tarama	c158_1	u
Tatsugo	c158_1	u
Uechi	c158_1	u
Uegusuku	c158_1	u
Wadomari	c158_1	u
Wan	c158_1	u
Yadon	c158_1	u
Yonaguni	c158_1	u
Yoro	c158_1	u
Yuwan	c158_1	u
Chabana	c159_1	S
Hateruma	c159_1	s
Hentona	c159_1	S
Hirara	c159_1	s
Ie	c159_1	S
Iheya	c159_1	S
Ikema	c159_1	s
Isen	c159_1	S
Ishigaki	c159_1	s
Ishikawa	c159_1	S
Itoman	c159_1	S
Izena	c159_1	S
Kagoshima	c159_1	S
Kametsu	c159_1	s
Keraji	c159_1	S
Koniya	c159_1	S
Kudaka	c159_1	S
Kuji-Oohama	c159_1	S
Kuroshima	c159_1	S
Kushi	c159_1	S
Kyoto	c159_1	S
Matsubara	c159_1	S
Mugiya	c159_1	S
Nago	c159_1	S
Naze	c159_1	S
Ohama	c159_1	s
Ongachi	c159_1	S
Ou	c159_1	S
Oura	c159_1	s
Ritchou	c159_1	S
Sakimotobu	c159_1	S
San	c159_1	s
Sani	c159_1	S
Sena	c159_1	S
Serikaku	c159_1	S
Shiomichi	c159_1	S
Shitooke	c159_1	S
Shuri	c159_1	S
Sonai	c159_1	S
Taketomi	c159_1	S
Tarama	c159_1	s
Tatsugo	c159_1	S
Uechi	c159_1	s
Uegusuku	c159_1	S
Wadomari	c159_1	S
Wan	c159_1	S
Yadon	c159_1	S
Yonaguni	c159_1	!tS_GS_
Yoro	c159_1	S
Yuwan	c159_1	S
Chabana	c15_1	ZERO
Hateruma	c15_1	ZERO
Hentona	c15_1	ZERO
Ie	c15_1	ZERO
Ikema	c15_1	ZERO
Isen	c15_1	ZERO
Ishigaki	c15_1	ZERO
Ishikawa	c15_1	ZERO
Itoman	c15_1	ZERO
Kagoshima	c15_1	ZERO
Kametsu	c15_1	ZERO
Keraji	c15_1	ZERO
Koniya	c15_1	ZERO
Kudaka	c15_1	ZERO
Kuji-Oohama	c15_1	ZERO
Kuroshima	c15_1	ZERO
Kushi	c15_1	ZERO
Kyoto	c15_1	ZERO
Matsubara	c15_1	ZERO
Mugiya	c15_1	ZERO
Nago	c15_1	ZERO
Naze	c15_1	ZERO
Ohama	c15_1	ZERO
Ongachi	c15_1	ZERO
Ou	c15_1	ZERO
Oura	c15_1	ZERO
Ritchou	c15_1	ZERO
Sakimotobu	c15_1	ZERO
San	c15_1	ZERO
Sani	c15_1	ZERO
Sena	c15_1	ZERO
Serikaku	c15_1	ZERO
Shiomichi	c15_1	ZERO
Shitooke	c15_1	ZERO
Shuri	c15_1	ZERO
Sonai	c15_1	ZERO
Taketomi	c15_1	ZERO
Tarama	c15_1	ZERO
Tatsugo	c15_1	ZERO
Uechi	c15_1	ZERO
Uegusuku	c15_1	_GS_
Wadomari	c15_1	ZERO
Wan	c15_1	ZERO
Yadon	c15_1	ZERO
Yonaguni	c15_1	ZERO
Yoro	c15_1	ZERO
Yuwan	c15_1	ZERO
Chabana	c160_1	i
Hateruma	c160_1	TONE_1
Hentona	c160_1	i
Hirara	c160_1	TONE_1
Ie	c160_1	i
Iheya	c160_1	i
Ikema	c160_1	TONE_1
Isen	c160_1	i
Ishigaki	c160_1	TONE_1
Ishikawa	c160_1	i
Itoman	c160_1	i
Izena	c160_1	i
Kagoshima	c160_1	i
Kametsu	c160_1	TONE_1
Keraji	c160_1	i
Koniya	c160_1	i
Kudaka	c160_1	i
Kuji-Oohama	c160_1	i
Kuroshima	c160_1	i
Kushi	c160_1	i
Kyoto	c160_1	i
Matsubara	c160_1	i
Mugiya	c160_1	i
Nago	c160_1	i
Naze	c160_1	i
Ohama	c160_1	TONE_1
Ongachi	c160_1	i
Ou	c160_1	i
Oura	c160_1	TONE_1
Ritchou	c160_1	i
Sakimotobu	c160_1	i
San	c160_1	TONE_1
Sani	c160_1	o
Sena	c160_1	i
Serikaku	c160_1	i
Shiomichi	c160_1	i
Shitooke	c160_1	i
Shuri	c160_1	i
Sonai	c160_1	i
Taketomi	c160_1	i
Tarama	c160_1	TONE_1
Tatsugo	c160_1	i
Uechi	c160_1	TONE_1
Uegusuku	c160_1	i
Wadomari	c160_1	i
Wan	c160_1	i
Yadon	c160_1	i
Yonaguni	c160_1	i
Yoro	c160_1	i
Yuwan	c160_1	i
Chabana	c161_1	a
Hateruma	c161_1	a
Hentona	c161_1	a
Hirara	c161_1	a
Ie	c161_1	a_LG_
Iheya	c161_1	a
Ikema	c161_1	a
Isen	c161_1	a_LG_
Ishigaki	c161_1	a
Ishikawa	c161_1	a
Itoman	c161_1	a
Izena	c161_1	a_LG_
Kagoshima	c161_1	a
Kametsu	c161_1	a
Keraji	c161_1	a
Koniya	c161_1	a
Kudaka	c161_1	a
Kuji-Oohama	c161_1	a
Kuroshima	c161_1	a
Kushi	c161_1	a_LG_
Kyoto	c161_1	a
Matsubara	c161_1	a_LG_
Mugiya	c161_1	a
Nago	c161_1	a_LG_
Naze	c161_1	a
Ohama	c161_1	a
Ongachi	c161_1	a
Ou	c161_1	a
Oura	c161_1	a
Ritchou	c161_1	a
Sakimotobu	c161_1	a
San	c161_1	a
Sani	c161_1	a
Sena	c161_1	a_LG_
Serikaku	c161_1	a_LG_
Shiomichi	c161_1	a
Shitooke	c161_1	a
Shuri	c161_1	a
Sonai	c161_1	a
Taketomi	c161_1	a
Tarama	c161_1	a
Tatsugo	c161_1	a
Uechi	c161_1	a
Uegusuku	c161_1	a_LG_
Wadomari	c161_1	a
Wan	c161_1	a
Yadon	c161_1	a
Yonaguni	c161_1	a
Yoro	c161_1	a
Yuwan	c161_1	a
Chabana	c162_1	m
Hentona	c162_1	m
Hirara	c162_1	m
Ie	c162_1	m
Ikema	c162_1	m
Isen	c162_1	m
Ishigaki	c162_1	m
Kagoshima	c162_1	k
Kametsu	c162_1	m
Koniya	c162_1	m
Kuji-Oohama	c162_1	m
Kuroshima	c162_1	m
Kushi	c162_1	m
Kyoto	c162_1	k
Matsubara	c162_1	m
Naze	c162_1	m
Ohama	c162_1	m
Ongachi	c162_1	m
Ou	c162_1	m
Oura	c162_1	m
San	c162_1	m
Shitooke	c162_1	m
Shuri	c162_1	m
Sonai	c162_1	m
Taketomi	c162_1	m
Tarama	c162_1	m
Tatsugo	c162_1	m
Uechi	c162_1	m
Yadon	c162_1	m
Yonaguni	c162_1	m
Yoro	c162_1	m
Yuwan	c162_1	m
Chabana	c163_1	a
Hentona	c163_1	a
Hirara	c163_1	a
Ie	c163_1	a_LG_
Ikema	c163_1	a
Isen	c163_1	a
Ishigaki	c163_1	a
Kagoshima	c163_1	o
Kametsu	c163_1	a_LG_
Koniya	c163_1	a
Kuji-Oohama	c163_1	a
Kuroshima	c163_1	a
Kushi	c163_1	a_LG_
Kyoto	c163_1	o
Matsubara	c163_1	a
Naze	c163_1	a
Ohama	c163_1	a
Ongachi	c163_1	a
Ou	c163_1	a
Oura	c163_1	a
San	c163_1	a
Shitooke	c163_1	a
Shuri	c163_1	a
Sonai	c163_1	a
Taketomi	c163_1	a
Tarama	c163_1	a
Tatsugo	c163_1	a
Uechi	c163_1	a
Yadon	c163_1	a
Yonaguni	c163_1	a
Yoro	c163_1	a
Yuwan	c163_1	a
Chabana	c164_1	u
Hateruma	c164_1	u
Hentona	c164_1	u
Hirara	c164_1	u
Ie	c164_1	u
Iheya	c164_1	u_LG_
Ikema	c164_1	u
Isen	c164_1	u
Ishigaki	c164_1	u
Ishikawa	c164_1	u_LG_
Itoman	c164_1	u_LG_
Izena	c164_1	u_LG_
Kagoshima	c164_1	u
Kametsu	c164_1	u
Keraji	c164_1	u
Koniya	c164_1	u
Kudaka	c164_1	u
Kuji-Oohama	c164_1	u
Kuroshima	c164_1	u
Kushi	c164_1	u
Kyoto	c164_1	u
Matsubara	c164_1	u_LG_
Mugiya	c164_1	u
Nago	c164_1	u
Naze	c164_1	u
Ohama	c164_1	u
Ongachi	c164_1	u
Ou	c164_1	u_LG_
Oura	c164_1	u
Ritchou	c164_1	u
Sakimotobu	c164_1	u
San	c164_1	u
Sani	c164_1	u
Sena	c164_1	u
Serikaku	c164_1	u
Shiomichi	c164_1	u
Shitooke	c164_1	u
Shuri	c164_1	u_LG_
Sonai	c164_1	u
Taketomi	c164_1	u
Tarama	c164_1	u
Tatsugo	c164_1	u
Uechi	c164_1	u
Uegusuku	c164_1	u
Wadomari	c164_1	u
Wan	c164_1	u
Yadon	c164_1	u
Yonaguni	c164_1	u
Yoro	c164_1	u
Yuwan	c164_1	u
Chabana	c165_1	S
Hateruma	c165_1	s
Hentona	c165_1	s
Hirara	c165_1	s
Ie	c165_1	s
Iheya	c165_1	S
Ikema	c165_1	s
Isen	c165_1	s
Ishigaki	c165_1	s
Ishikawa	c165_1	s
Itoman	c165_1	S
Izena	c165_1	S
Kagoshima	c165_1	s
Kametsu	c165_1	s
Keraji	c165_1	s
Koniya	c165_1	s
Kudaka	c165_1	K
Kuji-Oohama	c165_1	s
Kuroshima	c165_1	S
Kushi	c165_1	s
Kyoto	c165_1	s
Matsubara	c165_1	S
Mugiya	c165_1	S
Nago	c165_1	s
Naze	c165_1	S
Ohama	c165_1	s
Ongachi	c165_1	s
Ou	c165_1	S
Oura	c165_1	s
Ritchou	c165_1	S
Sakimotobu	c165_1	S
San	c165_1	s
Sani	c165_1	s
Sena	c165_1	S
Serikaku	c165_1	S
Shiomichi	c165_1	s
Shitooke	c165_1	s
Shuri	c165_1	S
Sonai	c165_1	S
Taketomi	c165_1	s
Tarama	c165_1	s
Tatsugo	c165_1	s
Uechi	c165_1	s
Uegusuku	c165_1	S
Wadomari	c165_1	S
Wan	c165_1	s
Yadon	c165_1	s
Yonaguni	c165_1	tS
Yoro	c165_1	s
Yuwan	c165_1	s
Chabana	c166_1	i
Hateruma	c166_1	TONE_1
Hentona	c166_1	u
Hirara	c166_1	TONE_1
Ie	c166_1	i
Iheya	c166_1	i
Ikema	c166_1	TONE_1
Isen	c166_1	TONE_1
Ishigaki	c166_1	TONE_1
Ishikawa	c166_1	u
Itoman	c166_1	i
Izena	c166_1	i
Kagoshima	c166_1	u
Kametsu	c166_1	TONE_1
Keraji	c166_1	u
Koniya	c166_1	TONE_1
Kudaka	c166_1	i
Kuji-Oohama	c166_1	TONE_1_LG_
Kuroshima	c166_1	i
Kushi	c166_1	TONE_1
Kyoto	c166_1	u
Matsubara	c166_1	i
Mugiya	c166_1	i
Nago	c166_1	u
Naze	c166_1	i
Ohama	c166_1	TONE_1
Ongachi	c166_1	TONE_1
Ou	c166_1	i
Oura	c166_1	TONE_1
Ritchou	c166_1	i
Sakimotobu	c166_1	i
San	c166_1	TONE_1
Sani	c166_1	TONE_1
Sena	c166_1	i
Serikaku	c166_1	i
Shiomichi	c166_1	u
Shitooke	c166_1	u
Shuri	c166_1	i
Sonai	c166_1	i
Taketomi	c166_1	u
Tarama	c166_1	TONE_1
Tatsugo	c166_1	TONE_1
Uechi	c166_1	TONE_1
Uegusuku	c166_1	i
Wadomari	c166_1	i
Wan	c166_1	u
Yadon	c166_1	TONE_1
Yonaguni	c166_1	i
Yoro	c166_1	u
Yuwan	c166_1	TONE_1
Chabana	c167_2	d
Hateruma	c167_2	d
Hentona	c167_2	d
Hirara	c167_2	d
Ie	c167_2	d
Iheya	c167_2	d
Ikema	c167_2	d
Isen	c167_2	d
Ishigaki	c167_2	d
Ishikawa	c167_2	d
Itoman	c167_2	r
Izena	c167_2	d
Kagoshima	c167_2	d
Kametsu	c167_2	d
Keraji	c167_2	d
Koniya	c167_2	d
Kudaka	c167_2	d
Kuji-Oohama	c167_2	d
Kuroshima	c167_2	d
Kushi	c167_2	d
Kyoto	c167_2	d
Matsubara	c167_2	d
Mugiya	c167_2	d
Nago	c167_2	d
Naze	c167_2	d
Ohama	c167_2	d
Ongachi	c167_2	d
Ou	c167_2	d
Oura	c167_2	d
Ritchou	c167_2	d
Sakimotobu	c167_2	d
San	c167_2	d
Sani	c167_2	d
Sena	c167_2	d
Serikaku	c167_2	d
Shiomichi	c167_2	d
Shitooke	c167_2	d
Shuri	c167_2	d
Sonai	c167_2	d
Taketomi	c167_2	d
Tarama	c167_2	d
Tatsugo	c167_2	d
Uechi	c167_2	d
Wadomari	c167_2	d
Wan	c167_2	d
Yadon	c167_2	d
Yonaguni	c167_2	d
Yoro	c167_2	d
Yuwan	c167_2	d
Chabana	c168_1	u
Hateruma	c168_1	u
Hentona	c168_1	u
Hirara	c168_1	u
Ie	c168_1	u
Iheya	c168_1	u
Ikema	c168_1	u
Isen	c168_1	i
Ishigaki	c168_1	u
Ishikawa	c168_1	u
Itoman	c168_1	u
Izena	c168_1	i
Kagoshima	c168_1	o
Kametsu	c168_1	u
Keraji	c168_1	u
Koniya	c168_1	u
Kudaka	c168_1	u
Kuji-Oohama	c168_1	u
Kuroshima	c168_1	u
Kushi	c168_1	o
Kyoto	c168_1	o
Matsubara	c168_1	u
Mugiya	c168_1	u
Nago	c168_1	u
Naze	c168_1	o
Ohama	c168_1	u_LG_
Ongachi	c168_1	o
Ou	c168_1	u
Oura	c168_1	u
Ritchou	c168_1	u
Sakimotobu	c168_1	u
San	c168_1	u
Sani	c168_1	o
Sena	c168_1	i
Serikaku	c168_1	u
Shiomichi	c168_1	u
Shitooke	c168_1	u
Shuri	c168_1	u
Sonai	c168_1	u
Taketomi	c168_1	u
Tarama	c168_1	u
Tatsugo	c168_1	o
Uechi	c168_1	u
Wadomari	c168_1	u
Wan	c168_1	u
Yadon	c168_1	u
Yonaguni	c168_1	u
Yoro	c168_1	TONE_1
Yuwan	c168_1	u
Chabana	c169_1	u
Hateruma	c169_1	u
Hentona	c169_1	u
Hirara	c169_1	u
Ie	c169_1	u_LG_
Iheya	c169_1	u_LG_
Ikema	c169_1	u
Isen	c169_1	u
Ishigaki	c169_1	u
Ishikawa	c169_1	u
Itoman	c169_1	u
Izena	c169_1	u_LG_
Kagoshima	c169_1	o
Kametsu	c169_1	u
Keraji	c169_1	u
Koniya	c169_1	u
Kudaka	c169_1	u
Kuji-Oohama	c169_1	u
Kuroshima	c169_1	u
Kushi	c169_1	o
Kyoto	c169_1	o
Matsubara	c169_1	u_LG_
Mugiya	c169_1	u
Nago	c169_1	u_LG_
Naze	c169_1	o
Ohama	c169_1	u
Ongachi	c169_1	o
Ou	c169_1	u
Oura	c169_1	u
Ritchou	c169_1	u
Sakimotobu	c169_1	u
San	c169_1	u
Sani	c169_1	o
Sena	c169_1	u
Serikaku	c169_1	u_LG_
Shiomichi	c169_1	u
Shitooke	c169_1	u
Shuri	c169_1	u
Sonai	c169_1	u
Taketomi	c169_1	u
Tarama	c169_1	u
Tatsugo	c169_1	o
Uechi	c169_1	u
Wadomari	c169_1	u
Wan	c169_1	u
Yadon	c169_1	u
Yonaguni	c169_1	u
Yoro	c169_1	u
Yuwan	c169_1	u_LG_
Chabana	c16_1	ZERO
Hateruma	c16_1	ZERO
Hentona	c16_1	ZERO
Ie	c16_1	ZERO
Ikema	c16_1	i
Isen	c16_1	ZERO
Ishigaki	c16_1	ZERO
Ishikawa	c16_1	ZERO
Itoman	c16_1	ZERO
Kagoshima	c16_1	ZERO
Kametsu	c16_1	ZERO
Keraji	c16_1	ZERO
Koniya	c16_1	ZERO
Kudaka	c16_1	ZERO
Kuji-Oohama	c16_1	ZERO
Kuroshima	c16_1	ZERO
Kushi	c16_1	ZERO
Kyoto	c16_1	ZERO
Matsubara	c16_1	ZERO
Mugiya	c16_1	ZERO
Nago	c16_1	ZERO
Naze	c16_1	ZERO
Ohama	c16_1	ZERO
Ongachi	c16_1	ZERO
Ou	c16_1	ZERO
Oura	c16_1	ZERO
Ritchou	c16_1	ZERO
Sakimotobu	c16_1	ZERO
San	c16_1	ZERO
Sani	c16_1	ZERO
Sena	c16_1	ZERO
Serikaku	c16_1	ZERO
Shiomichi	c16_1	ZERO
Shitooke	c16_1	ZERO
Shuri	c16_1	ZERO
Sonai	c16_1	ZERO
Taketomi	c16_1	ZERO
Tarama	c16_1	ZERO
Tatsugo	c16_1	ZERO
Uechi	c16_1	ZERO
Uegusuku	c16_1	a
Wadomari	c16_1	ZERO
Wan	c16_1	ZERO
Yadon	c16_1	ZERO
Yonaguni	c16_1	ZERO
Yoro	c16_1	ZERO
Yuwan	c16_1	ZERO
Chabana	c170_1	k
Hateruma	c170_1	f
Hentona	c170_1	k_GS_
Hirara	c170_1	f
Ie	c170_1	k
Iheya	c170_1	k
Ikema	c170_1	f
Isen	c170_1	k_GS_
Ishigaki	c170_1	p_SL_
Ishikawa	c170_1	k
Itoman	c170_1	k
Izena	c170_1	k
Kagoshima	c170_1	k
Kametsu	c170_1	k
Keraji	c170_1	k_GS_
Koniya	c170_1	k_GS_
Kudaka	c170_1	k_GS_
Kuji-Oohama	c170_1	k_GS_
Kuroshima	c170_1	f
Kushi	c170_1	k_GS_
Kyoto	c170_1	k
Matsubara	c170_1	k_GS_
Mugiya	c170_1	k
Nago	c170_1	k_GS_
Naze	c170_1	k_GS_
Ohama	c170_1	p_SL_
Ongachi	c170_1	k_GS_
Ou	c170_1	k
Oura	c170_1	f
