ID	DOCULECT	CONCEPT	IPA	SEGMENTS	ALIGNMENT	COGID
983	Uechi	COW_MORPHEME1	ʔ u s ɨ	ʔ u s ɨ	ʔ u s ɨ	19
984	Uegusuku	COW_MORPHEME1	ʔ u ʃ iː	ʔ u ʃ iː	ʔ u ʃ iː	19
985	Wadomari	COW_MORPHEME1	ʔ u ʃ i	ʔ u ʃ i	ʔ u ʃ i	19
986	Wan	COW_MORPHEME1	ʔ u ʃ i	ʔ u ʃ i	ʔ u ʃ i	19
987	Yadon	COW_MORPHEME1	ʔ u ʃ	ʔ u ʃ	ʔ u ʃ -	19
988	Yonaguni	COW_MORPHEME1	ʔ u ʧ i	ʔ u ʧ i	ʔ u ʧ i	19
989	Yoro	COW_MORPHEME1	ʔ u ʃ	ʔ u ʃ	ʔ u ʃ -	19
990	Yuwan	COW_MORPHEME1	ʔ u ʃ i	ʔ u ʃ i	ʔ u ʃ i	19
991	Hentona	DIM_MORHEME	n u k w a	n u k w a	n u k w a	20
992	Hentona	DIM_MORHEME	n u kˀ w a	n u kˀ w a	n u kˀ w a	20
993	Ie	DIM_MORHEME	n uː k w a	n uː k w a	n uː k w a	20
994	Ie	DIM_MORHEME	n uː kˀ w a	n uː kˀ w a	n uː kˀ w a	20
995	Keraji	DIM_MORHEME	ŋ aː	ŋ aː	ŋ - - - aː	20
996	Kudaka	DIM_MORHEME	ɡ w aː	ɡ w aː	- - ɡ w aː	20
997	Nago	DIM_MORHEME	u k w aː	u k w aː	- u k w aː	20
998	Shiomichi	DIM_MORHEME	ŋ aː	ŋ aː	ŋ - - - aː	20
999	Shitooke	DIM_MORHEME	ŋ aː	ŋ aː	ŋ - - - aː	20
1000	Wan	DIM_MORHEME	ŋ aː	ŋ aː	ŋ - - - aː	20
1001	Chabana	DIM_MORPHEME	b i	b i	b i	21
1002	Mugiya	DIM_MORPHEME	b i	b i	b i	21
1003	Ritchou	DIM_MORPHEME	b i	b i	b i	21
1004	Chabana	DOG_MORPHEME1	ʔ i n u	ʔ i n u	ʔ i n u	22
1005	Hateruma	DOG_MORPHEME1	ʔ i n u	ʔ i n u	ʔ i n u	22
1006	Hentona	DOG_MORPHEME1	ʔ i n	ʔ i n	ʔ i n -	22
1007	Hentona	DOG_MORPHEME1	ʔ i n	ʔ i n	ʔ i n -	22
1008	Hirara	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1009	Ie	DOG_MORPHEME1	ʔ i n	ʔ i n	ʔ i n -	22
1010	Ie	DOG_MORPHEME1	ʔ i n	ʔ i n	ʔ i n -	22
1011	Iheya	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1012	Ikema	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1013	Isen	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1014	Ishigaki	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1015	Ishikawa	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1016	Itoman	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1017	Izena	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1018	Kagoshima	DOG_MORPHEME1	i ɴ	i ɴ	- i ɴ -	22
1019	Kametsu	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1020	Keraji	DOG_MORPHEME1	ʔ i ŋ	ʔ i ŋ	ʔ i ŋ -	22
1021	Koniya	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1022	Kudaka	DOG_MORPHEME1	ʔ i ŋ	ʔ i ŋ	ʔ i ŋ -	22
1023	Kuji-Oohama	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1024	Kuroshima	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1025	Kushi	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1026	Kyoto	DOG_MORPHEME1	i n u	i n u	- i n u	22
1027	Matsubara	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1028	Mugiya	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1029	Nago	DOG_MORPHEME1	ʔ i n	ʔ i n	ʔ i n -	22
1030	Naze	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1031	Ohama	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1032	Ongachi	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1033	Ou	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1034	Oura	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1035	Ritchou	DOG_MORPHEME1	ʔ i n u	ʔ i n u	ʔ i n u	22
1036	Sakimotobu	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1037	San	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1038	Sani	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1039	Sena	DOG_MORPHEME1	ʔ i n u	ʔ i n u	ʔ i n u	22
1040	Serikaku	DOG_MORPHEME1	ʔ i n uː	ʔ i n uː	ʔ i n uː	22
1041	Shiomichi	DOG_MORPHEME1	ʔ i ŋ	ʔ i ŋ	ʔ i ŋ -	22
1042	Shitooke	DOG_MORPHEME1	ʔ i ŋ	ʔ i ŋ	ʔ i ŋ -	22
1043	Shuri	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1044	Sonai	DOG_MORPHEME1	ʔ i n u	ʔ i n u	ʔ i n u	22
1045	Taketomi	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1046	Tarama	DOG_MORPHEME1	ʔ i n a	ʔ i n a	ʔ i n a	22
1047	Tatsugo	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1048	Uechi	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1049	Uegusuku	DOG_MORPHEME1	ʔ i n uː	ʔ i n uː	ʔ i n uː	22
1050	Wadomari	DOG_MORPHEME1	ʔ i n u	ʔ i n u	ʔ i n u	22
1051	Wan	DOG_MORPHEME1	ʔ i ŋ	ʔ i ŋ	ʔ i ŋ -	22
1052	Yadon	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1053	Yonaguni	DOG_MORPHEME1	ʔ i n u	ʔ i n u	ʔ i n u	22
1054	Yoro	DOG_MORPHEME1	ʔ ɨ ɴ	ʔ ɨ ɴ	ʔ ɨ ɴ -	22
1055	Yuwan	DOG_MORPHEME1	ʔ i ɴ	ʔ i ɴ	ʔ i ɴ -	22
1056	Hateruma	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1057	Hentona	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1058	Hirara	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1059	Ie	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1060	Ie	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1061	Iheya	EYEBROW_MORPHEME1	m a j uː	m a j uː	m a j uː	23
1062	Ikema	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1063	Isen	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1064	Ishigaki	EYEBROW_MORPHEME1	m a j oː	m a j oː	m a j oː	23
1065	Ishikawa	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1066	Itoman	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1067	Izena	EYEBROW_MORPHEME1	m a j uː	m a j uː	m a j uː	23
1068	Kagoshima	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1069	Kametsu	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1070	Koniya	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1071	Kudaka	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1072	Kuji-Oohama	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1073	Kuroshima	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1074	Kushi	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1075	Kyoto	EYEBROW_MORPHEME1	m a i	m a i	m a - i	23
1076	Matsubara	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1077	Nago	EYEBROW_MORPHEME1	m a j uː	m a j uː	m a j uː	23
1078	Naze	EYEBROW_MORPHEME1	m a j o	m a j o	m a j o	23
1079	Naze	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1080	Ohama	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1081	Ongachi	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1082	Ou	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1083	Oura	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1084	Ritchou	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1085	Sakimotobu	EYEBROW_MORPHEME1	m a j uː	m a j uː	m a j uː	23
1086	San	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1087	Sani	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1088	Sena	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1089	Shiomichi	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1090	Shitooke	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1091	Shuri	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1092	Sonai	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1093	Taketomi	EYEBROW_MORPHEME1	m a j o	m a j o	m a j o	23
1094	Tarama	EYEBROW_MORPHEME1	m a i	m a i	m a - i	23
1095	Tatsugo	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1096	Uechi	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1097	Uegusuku	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1098	Wadomari	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1099	Wan	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1100	Yadon	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1101	Yonaguni	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1102	Yoro	EYEBROW_MORPHEME1	m a j o	m a j o	m a j o	23
1103	Yuwan	EYEBROW_MORPHEME1	m a j u	m a j u	m a j u	23
1104	Chabana	EYE_MORPHEME	m iː	m iː	m iː	26
1105	Hentona	EYE_MORPHEME	m iː	m iː	m iː	26
1106	Ie	EYE_MORPHEME	m iː	m iː	m iː	26
1107	Mugiya	EYE_MORPHEME	m iː	m iː	m iː	26
1108	Chabana	EYE_MORPHEME1	m iː	m iː	m iː -	24
1109	Hateruma	EYE_MORPHEME1	m i ɴ	m i ɴ	m i ɴ	24
1110	Hentona	EYE_MORPHEME1	m iː	m iː	m iː -	24
1111	Hirara	EYE_MORPHEME1	m iː	m iː	m iː -	24
1112	Ie	EYE_MORPHEME1	m iː	m iː	m iː -	24
1113	Iheya	EYE_MORPHEME1	m iː	m iː	m iː -	24
1114	Ikema	EYE_MORPHEME1	m iː	m iː	m iː -	24
1115	Isen	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1116	Ishigaki	EYE_MORPHEME1	m iː	m iː	m iː -	24
1117	Ishikawa	EYE_MORPHEME1	m iː	m iː	m iː -	24
1118	Itoman	EYE_MORPHEME1	m iː	m iː	m iː -	24
1119	Izena	EYE_MORPHEME1	m iː	m iː	m iː -	24
1120	Kagoshima	EYE_MORPHEME1	m e	m e	m e -	24
1121	Kametsu	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1122	Keraji	EYE_MORPHEME1	m iː	m iː	m iː -	24
1123	Koniya	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1124	Kudaka	EYE_MORPHEME1	m iː	m iː	m iː -	24
1125	Kuji-Oohama	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1126	Kuroshima	EYE_MORPHEME1	m iː	m iː	m iː -	24
1127	Kushi	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1128	Kyoto	EYE_MORPHEME1	m eː	m eː	m eː -	24
1129	Matsubara	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1130	Mugiya	EYE_MORPHEME1	m iː	m iː	m iː -	24
1131	Nago	EYE_MORPHEME1	m iː	m iː	m iː -	24
1132	Naze	EYE_MORPHEME1	m ɨ	m ɨ	m ɨ -	24
1133	Ohama	EYE_MORPHEME1	m iː	m iː	m iː -	24
1134	Ongachi	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1135	Ou	EYE_MORPHEME1	m iː	m iː	m iː -	24
1136	Oura	EYE_MORPHEME1	m iː	m iː	m iː -	24
1137	Ritchou	EYE_MORPHEME1	m iː	m iː	m iː -	24
1138	Sakimotobu	EYE_MORPHEME1	m iː	m iː	m iː -	24
1139	San	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1140	Sani	EYE_MORPHEME1	m ɨ	m ɨ	m ɨ -	24
1141	Sena	EYE_MORPHEME1	m iː	m iː	m iː -	24
1142	Serikaku	EYE_MORPHEME1	m iː	m iː	m iː -	24
1143	Shiomichi	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1144	Shitooke	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1145	Shuri	EYE_MORPHEME1	m iː	m iː	m iː -	24
1146	Sonai	EYE_MORPHEME1	m i	m i	m i -	24
1147	Taketomi	EYE_MORPHEME1	m iː	m iː	m iː -	24
1148	Tarama	EYE_MORPHEME1	m iː	m iː	m iː -	24
1149	Tatsugo	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1150	Uechi	EYE_MORPHEME1	m iː	m iː	m iː -	24
1151	Uegusuku	EYE_MORPHEME1	m iː	m iː	m iː -	24
1152	Wadomari	EYE_MORPHEME1	m iː	m iː	m iː -	24
1153	Wan	EYE_MORPHEME1	m iː	m iː	m iː -	24
1154	Yadon	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1155	Yonaguni	EYE_MORPHEME1	m iː	m iː	m iː -	24
1156	Yoro	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1157	Yuwan	EYE_MORPHEME1	m ɨː	m ɨː	m ɨː -	24
1158	Hentona	EYE_MORPHEME1	m iː	m iː	m iː -	25
1159	Kushi	EYE_MORPHEME1	m ɨ	m ɨ	m ɨ -	25
1160	Sena	EYE_MORPHEME1	m iː	m iː	m iː -	25
1161	Shitooke	EYE_MORPHEME1	m ɨ m	m ɨ m	m ɨ m	25
1162	Uegusuku	EYE_MORPHEME1	m i	m i	m i -	25
1163	Wan	EYE_MORPHEME1	m i m	m i m	m i m	25
1164	Chabana	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1165	Hateruma	FAT_MORPHEME1	ʔ a b a	ʔ a b a	ʔ a - b - - a	27
1166	Hentona	FAT_MORPHEME1	ʔ a n r a	ʔ a n r a	ʔ a - n - r a	27
1167	Hirara	FAT_MORPHEME1	ʔ a v v a	ʔ a v v a	ʔ a - v - v a	27
1168	Ie	FAT_MORPHEME1	ʔ a n d a	ʔ a n d a	ʔ a - n - d a	27
1169	Iheya	FAT_MORPHEME1	ʔ a n d aː	ʔ a n d aː	ʔ a - n - d aː	27
1170	Ikema	FAT_MORPHEME1	ʔ a v v a	ʔ a v v a	ʔ a - v - v a	27
1171	Isen	FAT_MORPHEME1	ʔ a m b a	ʔ a m b a	ʔ a m b - - a	27
1172	Ishigaki	FAT_MORPHEME1	ʔ a b a	ʔ a b a	ʔ a - b - - a	27
1173	Ishikawa	FAT_MORPHEME1	ʔ a n d a	ʔ a n d a	ʔ a - n - d a	27
1174	Itoman	FAT_MORPHEME1	ʔ a n r a	ʔ a n r a	ʔ a - n - r a	27
1175	Izena	FAT_MORPHEME1	ʔ a n d aː	ʔ a n d aː	ʔ a - n - d aː	27
1176	Kagoshima	FAT_MORPHEME1	a b u r a	a b u r a	- a - b u r a	27
1177	Kametsu	FAT_MORPHEME1	ʔ a m b a	ʔ a m b a	ʔ a m b - - a	27
1178	Koniya	FAT_MORPHEME1	ʔ a b r a	ʔ a b r a	ʔ a - b - r a	27
1179	Koniya	FAT_MORPHEME1	ʔ a b r a	ʔ a b r a	ʔ a - b - r a	27
1180	Kudaka	FAT_MORPHEME1	ʔ a n r a	ʔ a n r a	ʔ a - n - r a	27
1181	Kuji-Oohama	FAT_MORPHEME1	ʔ a p r a	ʔ a p r a	ʔ a - p - r a	27
1182	Kuroshima	FAT_MORPHEME1	ʔ a v v a	ʔ a v v a	ʔ a - v - v a	27
1183	Kushi	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1184	Kyoto	FAT_MORPHEME1	a b u r a	a b u r a	- a - b u r a	27
1185	Matsubara	FAT_MORPHEME1	ʔ a m b a	ʔ a m b a	ʔ a m b - - a	27
1186	Mugiya	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1187	Nago	FAT_MORPHEME1	ʔ a n d aː	ʔ a n d aː	ʔ a - n - d aː	27
1188	Naze	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1189	Ohama	FAT_MORPHEME1	ʔ a b a	ʔ a b a	ʔ a - b - - a	27
1190	Ongachi	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1191	Ou	FAT_MORPHEME1	ʔ a n d a	ʔ a n d a	ʔ a - n - d a	27
1192	Oura	FAT_MORPHEME1	ʔ a v v a	ʔ a v v a	ʔ a - v - v a	27
1193	Ritchou	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1194	Sakimotobu	FAT_MORPHEME1	ʔ a n d a	ʔ a n d a	ʔ a - n - d a	27
1195	San	FAT_MORPHEME1	ʔ a m b a	ʔ a m b a	ʔ a m b - - a	27
1196	Sani	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1197	Sena	FAT_MORPHEME1	ʔ a b u r aː	ʔ a b u r aː	ʔ a - b u r aː	27
1198	Serikaku	FAT_MORPHEME1	ʔ a b u r aː	ʔ a b u r aː	ʔ a - b u r aː	27
1199	Shiomichi	FAT_MORPHEME1	ʔ a b b a	ʔ a b b a	ʔ a - b - b a	27
1200	Shitooke	FAT_MORPHEME1	ʔ a b b a	ʔ a b b a	ʔ a - b - b a	27
1201	Shuri	FAT_MORPHEME1	ʔ a n d a	ʔ a n d a	ʔ a - n - d a	27
1202	Sonai	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1203	Taketomi	FAT_MORPHEME1	ʔ a b a	ʔ a b a	ʔ a - b - - a	27
1204	Tarama	FAT_MORPHEME1	ʔ a v v a	ʔ a v v a	ʔ a - v - v a	27
1205	Tatsugo	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1206	Uechi	FAT_MORPHEME1	ʔ a v v a	ʔ a v v a	ʔ a - v - v a	27
1207	Uegusuku	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1208	Wadomari	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1209	Wan	FAT_MORPHEME1	ʔ a m b a	ʔ a m b a	ʔ a m b - - a	27
1210	Yadon	FAT_MORPHEME1	ʔ a p r a	ʔ a p r a	ʔ a - p - r a	27
1211	Yonaguni	FAT_MORPHEME1	ʔ a n d a	ʔ a n d a	ʔ a - n - d a	27
1212	Yoro	FAT_MORPHEME1	ʔ a p r a	ʔ a p r a	ʔ a - p - r a	27
1213	Yuwan	FAT_MORPHEME1	ʔ a b u r a	ʔ a b u r a	ʔ a - b u r a	27
1214	Chabana	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1215	Hateruma	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1216	Hentona	FEATHER_MORPHEME1	ɸ a n iː	ɸ a n iː	ɸ a n iː	28
1217	Hirara	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1218	Ie	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1219	Iheya	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1220	Ikema	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1221	Isen	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1222	Ishigaki	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1223	Ishikawa	FEATHER_MORPHEME1	ɸ a n i	ɸ a n i	ɸ a n i	28
1224	Itoman	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1225	Izena	FEATHER_MORPHEME1	ɸ a n iː	ɸ a n iː	ɸ a n iː	28
1226	Kagoshima	FEATHER_MORPHEME1	h a n e	h a n e	h a n e	28
1227	Kametsu	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1228	Keraji	FEATHER_MORPHEME1	ɸ a n i	ɸ a n i	ɸ a n i	28
1229	Koniya	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1230	Koniya	FEATHER_MORPHEME1	ɸ a n ɨː	ɸ a n ɨː	ɸ a n ɨː	28
1231	Kudaka	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1232	Kuji-Oohama	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1233	Kuroshima	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1234	Kushi	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1235	Kyoto	FEATHER_MORPHEME1	h a n e	h a n e	h a n e	28
1236	Matsubara	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1237	Mugiya	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1238	Nago	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1239	Naze	FEATHER_MORPHEME1	h a n ɘ	h a n ɘ	h a n ɘ	28
1240	Naze	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1241	Ohama	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1242	Ongachi	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1243	Ou	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1244	Oura	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1245	Ritchou	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1246	Sakimotobu	FEATHER_MORPHEME1	ɸ a n i	ɸ a n i	ɸ a n i	28
1247	San	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1248	Sani	FEATHER_MORPHEME1	p a n ɨ	p a n ɨ	p a n ɨ	28
1249	Sena	FEATHER_MORPHEME1	h a n iː	h a n iː	h a n iː	28
1250	Serikaku	FEATHER_MORPHEME1	ɸ a n iː	ɸ a n iː	ɸ a n iː	28
1251	Shiomichi	FEATHER_MORPHEME1	p a n ɨ	p a n ɨ	p a n ɨ	28
1252	Shitooke	FEATHER_MORPHEME1	h a n ɪ	h a n ɪ	h a n ɪ	28
1253	Shuri	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1254	Sonai	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1255	Taketomi	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1256	Tarama	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1257	Tatsugo	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1258	Uechi	FEATHER_MORPHEME1	p a n i	p a n i	p a n i	28
1259	Uegusuku	FEATHER_MORPHEME1	h a n iː	h a n iː	h a n iː	28
1260	Wadomari	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1261	Wan	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1262	Yadon	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1263	Yonaguni	FEATHER_MORPHEME1	h a n i	h a n i	h a n i	28
1264	Yoro	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1265	Yuwan	FEATHER_MORPHEME1	h a n ɨ	h a n ɨ	h a n ɨ	28
1266	Chabana	FLOWER_MORPHEME1	p a n a	p a n a	p a n a	29
1267	Hateruma	FLOWER_MORPHEME1	p a n a	p a n a	p a n a	29
1268	Hentona	FLOWER_MORPHEME1	ɸ a n a	ɸ a n a	ɸ a n a	29
1269	Hirara	FLOWER_MORPHEME1	p a n a	p a n a	p a n a	29
1270	Ie	FLOWER_MORPHEME1	p a n aː	p a n aː	p a n aː	29
1271	Iheya	FLOWER_MORPHEME1	h a n aː	h a n aː	h a n aː	29
1272	Ikema	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1273	Isen	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1274	Ishigaki	FLOWER_MORPHEME1	p a n a	p a n a	p a n a	29
1275	Ishikawa	FLOWER_MORPHEME1	ɸ a n a	ɸ a n a	ɸ a n a	29
1276	Itoman	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1277	Izena	FLOWER_MORPHEME1	ɸ a n aː	ɸ a n aː	ɸ a n aː	29
1278	Kagoshima	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1279	Kametsu	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1280	Keraji	FLOWER_MORPHEME1	ɸ a n a	ɸ a n a	ɸ a n a	29
1281	Koniya	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1282	Koniya	FLOWER_MORPHEME1	ɸ a n a	ɸ a n a	ɸ a n a	29
1283	Kudaka	FLOWER_MORPHEME1	p a n a	p a n a	p a n a	29
1284	Kuji-Oohama	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1285	Kuroshima	FLOWER_MORPHEME1	p a n a	p a n a	p a n a	29
1286	Kushi	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1287	Kyoto	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1288	Matsubara	FLOWER_MORPHEME1	h a n aː	h a n aː	h a n aː	29
1289	Mugiya	FLOWER_MORPHEME1	p a n a	p a n a	p a n a	29
1290	Nago	FLOWER_MORPHEME1	p a n aː	p a n aː	p a n aː	29
1291	Naze	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1292	Ohama	FLOWER_MORPHEME1	p a n a	p a n a	p a n a	29
1293	Ongachi	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1294	Ou	FLOWER_MORPHEME1	h a n a	h a n a	h a n a	29
1295	Oura	FLOWER_MORPHEME1	p a n a	p a n a	p a n a	29
1296	Ritchou	FLOWER_MORPHEME1	p a n a	p a n a	p a n a	29
